epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9859,1.11638,1.4145,1.08389,0.22994,0.22472,0.15552,0.04434,2.49749,2.53362,2.27024,0.000549423,0.000549423,0.000549423
2,106.895,0.88308,0.65103,0.96229,0.4645,0.44828,0.37353,0.13585,2.07114,1.30452,1.75733,0.00109415,0.00109415,0.00109415
3,158.624,0.86938,0.62129,0.95327,0.41977,0.34999,0.34936,0.11877,2.30364,1.52882,1.82405,0.00162787,0.00162787,0.00162787
4,209.777,0.84519,0.58847,0.9353,0.30342,0.4368,0.33913,0.13673,1.93816,1.302,1.60901,0.00161749,0.00161749,0.00161749
5,260.504,0.78956,0.53885,0.92013,0.64325,0.4566,0.51395,0.21465,1.89794,1.19852,1.55508,0.00160099,0.00160099,0.00160099
6,311.435,0.77204,0.51544,0.91128,0.56078,0.53468,0.54107,0.24786,1.76417,0.96767,1.44424,0.00158448,0.00158448,0.00158448
7,362.366,0.73509,0.48682,0.90195,0.68476,0.50587,0.63477,0.24871,1.85073,1.19249,1.55608,0.00156798,0.00156798,0.00156798
8,413.46,0.7164,0.47377,0.8962,0.65748,0.56916,0.59188,0.24249,1.59693,0.95445,1.34494,0.00155148,0.00155148,0.00155148
9,464.302,0.69746,0.45834,0.88887,0.77184,0.59333,0.70026,0.31309,1.5863,0.78938,1.40215,0.00153497,0.00153497,0.00153497
10,515.165,0.68412,0.44039,0.88349,0.66633,0.61792,0.62624,0.27186,1.60064,0.87573,1.34743,0.00151847,0.00151847,0.00151847
11,565.926,0.67842,0.43773,0.88292,0.67107,0.62539,0.63556,0.29356,1.52185,0.80441,1.25424,0.00150197,0.00150197,0.00150197
12,616.733,0.65777,0.42089,0.87636,0.57893,0.7195,0.60722,0.27119,1.49233,0.79203,1.29918,0.00148546,0.00148546,0.00148546
13,667.648,0.646,0.41114,0.87332,0.68104,0.66947,0.68433,0.32759,1.58032,0.85666,1.35014,0.00146896,0.00146896,0.00146896
